id,family,family_order,order,character,transliteration,vowel,audio_file
1,ha,1,1,ሀ,hä,ä,
2,ha,1,2,ሁ,hu,u,
3,ha,1,3,ሂ,hi,i,
4,ha,1,4,ሃ,ha,a,
5,ha,1,5,ሄ,he,e,
6,ha,1,6,ህ,hɨ,ɨ,
7,ha,1,7,ሆ,ho,o,

8,la,2,1,ለ,lä,ä,
9,la,2,2,ሉ,lu,u,
10,la,2,3,ሊ,li,i,
11,la,2,4,ላ,la,a,
12,la,2,5,ሌ,le,e,
13,la,2,6,ል,lɨ,ɨ,
14,la,2,7,ሎ,lo,o,

15,ha2,3,1,ሐ,ḥä,ä,
16,ha2,3,2,ሑ,ḥu,u,
17,ha2,3,3,ሒ,ḥi,i,
18,ha2,3,4,ሓ,ḥa,a,
19,ha2,3,5,ሔ,ḥe,e,
20,ha2,3,6,ሕ,ḥɨ,ɨ,
21,ha2,3,7,ሖ,ḥo,o,

22,ma,4,1,መ,mä,ä,
23,ma,4,2,ሙ,mu,u,
24,ma,4,3,ሚ,mi,i,
25,ma,4,4,ማ,ma,a,
26,ma,4,5,ሜ,me,e,
27,ma,4,6,ም,mɨ,ɨ,
28,ma,4,7,ሞ,mo,o,

29,sa,5,1,ሠ,sä,ä,
30,sa,5,2,ሡ,su,u,
31,sa,5,3,ሢ,si,i,
32,sa,5,4,ሣ,sa,a,
33,sa,5,5,ሤ,se,e,
34,sa,5,6,ሥ,sɨ,ɨ,
35,sa,5,7,ሦ,so,o,

36,ra,6,1,ረ,rä,ä,
37,ra,6,2,ሩ,ru,u,
38,ra,6,3,ሪ,ri,i,
39,ra,6,4,ራ,ra,a,
40,ra,6,5,ሬ,re,e,
41,ra,6,6,ር,rɨ,ɨ,
42,ra,6,7,ሮ,ro,o,

43,sa2,7,1,ሰ,sä,ä,
44,sa2,7,2,ሱ,su,u,
45,sa2,7,3,ሲ,si,i,
46,sa2,7,4,ሳ,sa,a,
47,sa2,7,5,ሴ,se,e,
48,sa2,7,6,ስ,sɨ,ɨ,
49,sa2,7,7,ሶ,so,o,

50,sha,8,1,ሸ,shä,ä,
51,sha,8,2,ሹ,shu,u,
52,sha,8,3,ሺ,shi,i,
53,sha,8,4,ሻ,sha,a,
54,sha,8,5,ሼ,she,e,
55,sha,8,6,ሽ,shɨ,ɨ,
56,sha,8,7,ሾ,sho,o,

57,qa,9,1,ቀ,qä,ä,
58,qa,9,2,ቁ,qu,u,
59,qa,9,3,ቂ,qi,i,
60,qa,9,4,ቃ,qa,a,
61,qa,9,5,ቄ,qe,e,
62,qa,9,6,ቅ,qɨ,ɨ,
63,qa,9,7,ቆ,qo,o,

64,ba,10,1,በ,bä,ä,
65,ba,10,2,ቡ,bu,u,
66,ba,10,3,ቢ,bi,i,
67,ba,10,4,ባ,ba,a,
68,ba,10,5,ቤ,be,e,
69,ba,10,6,ብ,bɨ,ɨ,
70,ba,10,7,ቦ,bo,o,

71,ta,12,1,ተ,tä,ä,
72,ta,12,2,ቱ,tu,u,
73,ta,12,3,ቲ,ti,i,
74,ta,12,4,ታ,ta,a,
75,ta,12,5,ቴ,te,e,
76,ta,12,6,ት,tɨ,ɨ,
77,ta,12,7,ቶ,to,o,


78,ca,13,1,ቸ,chä,ä,
79,ca,13,2,ቹ,chu,u,
80,ca,13,3,ቺ,chi,i,
81,ca,13,4,ቻ,cha,a,
82,ca,13,5,ቼ,che,e,
83,ca,13,6,ች,chɨ,ɨ,
84,ca,13,7,ቾ,cho,o,


85,ha3,14,1,ኀ,hä,ä,
86,ha3,14,2,ኁ,hu,u,
87,ha3,14,3,ኂ,hi,i,
88,ha3,14,4,ኃ,ha,a,
89,ha3,14,5,ኄ,he,e,
90,ha3,14,6,ኅ,hɨ,ɨ,
91,ha3,14,7,ኆ,ho,o,

92,na,15,1,ነ,nä,ä,
93,na,15,2,ኑ,nu,u,
94,na,15,3,ኒ,ni,i,
95,na,15,4,ና,na,a,
96,na,15,5,ኔ,ne,e,
97,na,15,6,ን,nɨ,ɨ,
98,na,15,7,ኖ,no,o,

99,nya,32,1,ኘ,ñä,ä,
100,nya,32,2,ኙ,ñu,u,
101,nya,32,3,ኚ,ñi,i,
102,nya,32,4,ኛ,ña,a,
103,nya,32,5,ኜ,ñe,e,
104,nya,32,6,ኝ,ñɨ,ɨ,
105,nya,32,7,ኞ,ño,o,

106,a,16,1,አ,ä,ä,
107,a,16,2,ኡ,u,u,
108,a,16,3,ኢ,i,i,
109,a,16,4,ኣ,a,a,
110,a,16,5,ኤ,e,e,
111,a,16,6,እ,ɨ,ɨ,
112,a,16,7,ኦ,o,o,

113,ka,17,1,ከ,kä,ä,
114,ka,17,2,ኩ,ku,u,
115,ka,17,3,ኪ,ki,i,
116,ka,17,4,ካ,ka,a,
117,ka,17,5,ኬ,ke,e,
118,ka,17,6,ክ,kɨ,ɨ,
119,ka,17,7,ኮ,ko,o,

120,xa,33,1,ኸ,xä,ä,
121,xa,33,2,ኹ,xu,u,
122,xa,33,3,ኺ,xi,i,
123,xa,33,4,ኻ,xa,a,
124,xa,33,5,ኼ,xe,e,
125,xa,33,6,ኽ,xɨ,ɨ,
126,xa,33,7,ኾ,xo,o,

127,wa,18,1,ወ,wä,ä,
128,wa,18,2,ዉ,wu,u,
129,wa,18,3,ዊ,wi,i,
130,wa,18,4,ዋ,wa,a,
131,wa,18,5,ዌ,we,e,
131,wa,18,6,ው,wɨ,ɨ,
133,wa,18,7,ዎ,wo,o,



134,za,19,1,ዘ,zä,ä,
135,za,19,2,ዙ,zu,u,
136,za,19,3,ዚ,zi,i,
137,za,19,4,ዛ,za,a,
138,za,19,5,ዜ,ze,e,
139,za,19,6,ዝ,zɨ,ɨ,
140,za,19,7,ዞ,zo,o,

141,zha,20,1,ዠ,zhä,ä,
142,zha,20,2,ዡ,zhu,u,
143,zha,20,3,ዢ,zhi,i,
144,zha,20,4,ዣ,zha,a,
145,zha,20,5,ዤ,zhe,e,
146,zha,20,6,ዥ,zhɨ,ɨ,
147,zha,20,7,ዦ,zho,o,

148,ya,21,1,የ,yä,ä,
149,ya,21,2,ዩ,yu,u,
150,ya,21,3,ዪ,yi,i,
151,ya,21,4,ያ,ya,a,
152,ya,21,5,ዬ,ye,e,
153,ya,21,6,ይ,yɨ,ɨ,
154,ya,21,7,ዮ,yo,o,

155,da,22,1,ደ,dä,ä,
156,da,22,2,ዱ,du,u,
157,da,22,3,ዲ,di,i,
158,da,22,4,ዳ,da,a,
159,da,22,5,ዴ,de,e,
160,da,22,6,ድ,dɨ,ɨ,
161,da,22,7,ዶ,do,o,

162,ja,23,1,ጀ,jä,ä,
163,ja,23,2,ጁ,ju,u,
164,ja,23,3,ጂ,ji,i,
165,ja,23,4,ጃ,ja,a,
166,ja,23,5,ጄ,je,e,
167,ja,23,6,ጅ,jɨ,ɨ,
168,ja,23,7,ጆ,jo,o,

169,ga,24,1,ገ,gä,ä,
170,ga,24,2,ጉ,gu,u,
171,ga,24,3,ጊ,gi,i,
172,ga,24,4,ጋ,ga,a,
173,ga,24,5,ጌ,ge,e,
174,ga,24,6,ግ,gɨ,ɨ,
175,ga,24,7,ጎ,go,o,

176,ta2,28,1,ጠ,ṭä,ä,
177,ta2,28,2,ጡ,ṭu,u,
178,ta2,28,3,ጢ,ṭi,i,
179,ta2,28,4,ጣ,ṭa,a,
180,ta2,28,5,ጤ,ṭe,e,
181,ta2,28,6,ጥ,ṭɨ,ɨ,
182,ta2,28,7,ጦ,ṭo,o,

183,ca2,29,1,ጨ,č̣ä,ä,
184,ca2,29,2,ጩ,č̣u,u,
185,ca2,29,3,ጪ,č̣i,i,
186,ca2,29,4,ጫ,č̣a,a,
187,ca2,29,5,ጬ,č̣e,e,
188,ca2,29,6,ጭ,č̣ɨ,ɨ,
189,ca2,29,7,ጮ,č̣o,o,

190,pa2,30,1,ጰ,ṗä,ä,
191,pa2,30,2,ጱ,ṗu,u,
192,pa2,30,3,ጲ,ṗi,i,
193,pa2,30,4,ጳ,ṗa,a,
194,pa2,30,5,ጴ,ṗe,e,
195,pa2,30,6,ጵ,ṗɨ,ɨ,
196,pa2,30,7,ጶ,ṗo,o,


197,tsa,25,1,ጸ,tsä,ä,
198,tsa,25,2,ጹ,tsu,u,
199,tsa,25,3,ጺ,tsi,i,
200,tsa,25,4,ጻ,tsa,a,
201,tsa,25,5,ጼ,tse,e,
202,tsa,25,6,ጽ,tsɨ,ɨ,
203,tsa,25,7,ጾ,tso,o,

204,tsa2,31,1,ፀ,ṣä,ä,
205,tsa2,31,2,ፁ,ṣu,u,
206,tsa2,31,3,ፂ,ṣi,i,
207,tsa2,31,4,ፃ,ṣa,a,
208,tsa2,31,5,ፄ,ṣe,e,
209,tsa2,31,6,ፅ,ṣɨ,ɨ,
210,tsa2,31,7,ፆ,ṣo,o,

211,fa,26,1,ፈ,fä,ä,
212,fa,26,2,ፉ,fu,u,
213,fa,26,3,ፊ,fi,i,
214,fa,26,4,ፋ,fa,a,
215,fa,26,5,ፌ,fe,e,
216,fa,26,6,ፍ,fɨ,ɨ,
217,fa,26,7,ፎ,fo,o,

218,pa,27,1,ፐ,pä,ä,
219,pa,27,2,ፑ,pu,u,
220,pa,27,3,ፒ,pi,i,
221,pa,27,4,ፓ,pa,a,
222,pa,27,5,ፔ,pe,e,
223,pa,27,6,ፕ,pɨ,ɨ,
224,pa,27,7,ፖ,po,o,

225,va,11,1,ቨ,vä,ä,
226,va,11,2,ቩ,vu,u,
227,va,11,3,ቪ,vi,i,
228,va,11,4,ቫ,va,a,
229,va,11,5,ቬ,ve,e,
230,va,11,6,ቭ,vɨ,ɨ,
231,va,11,7,ቮ,vo,o,