Category,English,Amharic,Oromo,Tigrinya
Greetings and farewell,Hello my friend,ሰላም ጓደኛዬ,Akkam jirtu hiriyaa koo,ሰላም ዓርከይ
Greetings and farewell,How are you?,እንደምን ነህ?,Akkam jirta?,ከመይ አለካ?
Greetings and farewell,Good morning,እንዴት አደርክ,Akkam bulte,ከመይ ሓዲርኩም
Greetings and farewell,Good afternoon,እንደምን ዋልክ,Akkam ooltan,ከመይ ውዒሎም
Greetings and farewell,Good night,መልካም ሌሊት,Halkan gaarii,ልዋም ለይቲ
Greetings and farewell,Hello,ሰላም,Akkam,ሰላም
Greetings and farewell,Long time no see,ለረጅም ግዜ አለየሁህም,Osoo wal hin argin bubbulle,ካብ ዘይንራኸብ ብዙሕ ገይርና
Greetings and farewell,Thank you,አመሰግናለሁ,Galatoomaa,የቕንየለይ
Greetings and farewell,Welcome,እንኳን ደህና መጣህ,Baga nagaan dhufte,እንኳዕ ደሓን መፁ
Greetings and farewell,Make yourself at home!,እራስህን እቤት አድርግ!,Mana keessa of tolfadhu!,ንነብስኻ ኣብ ገዛኻ ግበር!
Greetings and farewell,Have a nice day!,መልካም ቀን ይሁንልህ!,Guyyaa gaarii siif haa ta'u!,ብሩኽ መዓልቲ!
Greetings and farewell,See you later!,ደግሜ አይሀለሁ!,Booda wal agarra!,ጸኒሑ የራኽበና!
Greetings and farewell,Have a good trip!,መልካም ጉዞ!,Imala gaarii isiniif haa ta'u!,ሰናይ ጉዕዞ ይግበረልኩም!
Greetings and farewell,I have to go,መሄአድ አለብኝ,Deemuun qaba,ክኸይድ ኣለኒ።
Greetings and farewell,I will be right back!,ወዲያው እመለሳለሁ!,Achumaan deebi'a!,ብቕጽበት ክምለስ እየ!
Romance and love,Are you free tomorrow evening?,ነገ ምሽት ነፃ ነህ?,Boru galgala bilisoomtee?,ጽባሕ ምሸት ናጻ ዲኻ?
Romance and love,I would like to invite you to dinner,እራት ልጋብዝህ እፈልጋለሁ,Irbaata nyaachuuf isin afeeruun barbaada,ናብ ድራር ክዕድመኩም ይፈቱ
Romance and love,You look beautiful!,ታምራለህ!,Bareedduu fakkaatta!,ጽብቕቲ ትመስል!
Romance and love,You have a beautiful name,ቆንጆ ስም አለህ,Maqaa bareedaa qabda,ጽቡቕ ስም ኣለካ
Romance and love,Can you tell me more about you?,ስለእርስዎ የበለጠ ሊነግሩኝ ይችላሉ?,Waa'ee kee kana caalaa natti himuu dandeessaa?,ብዛዕባኻ ዝያዳ ክትነግረኒ ትኽእል ዲኻ?
Romance and love,Are you married?,አግብተሃል?,Fuuteettaa?,ዝተመርዓኻ ዲኻ?
Romance and love,I'm single,ላጤ ነኝ,Ani single dha,ኣነ ንጽል እየ
Romance and love,I'm married,ባለትዳር ነኝ,Ani fuudhee jira,ኣነ በዓል ሓዳር እየ
Romance and love,Can I have your phone number?,ስልክ ቁጥርህን ማግኘት እችላለሁ?,Lakkoofsa bilbilaa keessan qabaachuu nan danda'aa?,ቁጽሪ ተሌፎንካ ክህልወኒ ይኽእል ድዩ?
Romance and love,Do you have any pictures of you?,የእርስዎ ምስሎች አሉዎት?,Suuraa keessan qabduu?,ስእሊ ኣለኩም ዶ?
Romance and love,I like you,እወድሻለሁ,natti tolta,ተመቺካኒ
Romance and love,I love you,እወድሃለሁ,sin jaalladha,የፍቅረኪ እየ
Romance and love,You're very special!,በጣም ልዩ ነሽ!,Baayyee adda taate!,ብጣዕሚ ፍልይቲ ኢኻ!
Romance and love,Would you marry me?,ታገባኛለህ?,Na heerumtaa?,ምተመርዓኻኒ ዶ?
Romance and love,My heart speaks the language of love,ልቤ የፍቅር ቋንቋ ይናገራል,Garaan koo afaan jaalalaa dubbata,ልበይ ቋንቋ ፍቕሪ እዩ ዝዛረብ
Wishes and Introduction,Happy Easter,መልካም ፋሲካ,Baga Ayyaana Faasikaa geessan,ርሑስ በዓል ፋሲካ
Wishes and Introduction,Happy new year!,መልካም አዲስ ዓመት!,Baga bara haaraa geessan!,ርሑስ ሓዱሽ ዓመት!
Wishes and Introduction,Happy Holidays!,መልካም በዓል!,Baga Ayyaana Geessan!,ርሑስ በዓል!
Wishes and Introduction,Good luck!,መልካም እድል!,Carraa gaarii!,ፅቡቕ ዕድል!
Wishes and Introduction,Happy birthday!,መልካም ልደት!,Baga guyyaa dhaloota kee geesse!,እንኳዕ ተወለድካ!
Wishes and Introduction,Congratulations!,እንኳን ደስ አላችሁ!,Baga gammaddan!,እንቋዕ ሓጎሰካ!
Wishes and Introduction,Best wishes!,መልካም ምኞት!,Hawwii gaarii!,ሰናይ ትምኒት!
Wishes and Introduction,What's your name?,ስምህ ማን ነው?,Maqaan kee eenyu?,ሽምካ መን እዩ?
Wishes and Introduction,My name is (Jane Doe),ስሜ (ጄን ዶ እባላለሁ),Maqaan koo (Jane Doe) jedhama.,ኣነ (ጄን ዶይ) ይበሃል
Wishes and Introduction,Nice to meet you!,ስለተዋወቅን ደስ ብሎኛል!,Walbaruu keenyatti gammadeera!,ስለዝረኸብኩኻ ሕጉስ እየ!
Wishes and Introduction,Where are you from?,አገርህ የት ነው?,Eessaa dhufte?,ካበይ ኢኻ መፂኻ?
Wishes and Introduction,I'm from (U.S),እኔ ከ (US) ነኝ,Ani (U.S) irraan dhufe.,ኣነ ካብ (U.S) እየ
Wishes and Introduction,Do you like it here?,እዚህ ይወዳሉ?,Asitti ni jaallattaa?,ኣብዚ ትፈትዎ ዲኻ?
Wishes and Introduction,This is my husband,ይህ ባለቤቴ ነው።,Kun abbaa warraa kooti,እዚ በዓል ቤተይ እዩ።
Wishes and Introduction,This is my wife,ይህች ሚስቴ ናት።,Kun haadha manaa kooti,እዚኣ እያ ሰበይተይ
Emergency,Help!,እርዳ!,Gargaaruu!,ሓገዝ!
Emergency,Stop!,ተወ!,Dhaabuu!,ጠጠው በል!
Emergency,Fire!,እሳት!,Abidda!,ሓዊ!
Emergency,Thief!,ሌባ!,Hattuu!,ሰራቒ!
Emergency,Run!,ሩጡ!,Fiiguu!,ጉየ!
Emergency,Call the police!,ፖሊስ ጥራ!,Poolisiitti bilbilaa!,ናብ ፖሊስ ደውሉ!
Emergency,Call a doctor!,ዶክተር ይደውሉ!,Doktora bilbilaa!,ናብ ሓኪም ደውሉ!
Emergency,Call the ambulance!,አምቡላንስ ይደውሉ!,Ambulaansii bilbilaa!,ናብ ኣምቡላንስ ደውሉ!
Emergency,Are you okay?,ሰላም ነው?,Nagaa jirtuu?,ደሓን ዲኻ?
Emergency,I feel sick,ህመም ይሰማኛል,Dhukkubni natti dhagahama,ሕማም ይስምዓኒ።
Emergency,Where is the closest pharmacy?,በጣም ቅርብ የሆነው ፋርማሲ የት ነው?,Manni qorichaa dhiyoo jiru eessa jira?,እቲ ዝቐረበ ፋርማሲ ኣበይ ኣሎ?
Emergency,Calm down!,አቀዝቅዝ!,Tasgabbaa'aa!,ህድእ በሉ!
Emergency,You will be okay!,ደህና ትሆናለህ!,Tole ni taata!,ጽቡቕ ክትኮኑ ኢኹም!
Emergency,Can you help me?,ልትረዳኝ ትችላለህ?,Na gargaaruu dandeessaa?,ክትሕግዙኒ ትኽእሉ ዶ?
Emergency,Can I help you?,ልረዳህ የምችለው ነገር አለ?,Si gargaaruu danda'aa?,ክሕግዘካ ይኽእል ድየ?
Hotel; Restaurant; Shopping,I have a reservation (for a room),ቦታ ማስያዝ አለኝ (ለክፍል),Reservation qaba (kutaa tokkoof) .,ዕቑባ ኣለኒ (ንሓደ ክፍሊ)
Hotel; Restaurant; Shopping,Do you have rooms available?,የሚገኙ ክፍሎች አሎት?,Kutaawwan jiran qabduu?,ክፍልታት ኣለኩም ድዩ?
Hotel; Restaurant; Shopping,With shower / With bathroom,ከመታጠቢያ ቤት ጋር / ከመታጠቢያ ቤት ጋር,Shaawariin / Mana fincaanii wajjin,ምስ ሻወር / ምስ ሽቓቕ
Hotel; Restaurant; Shopping,I would like a non-smoking room,የማያጨስ ክፍል እፈልጋለሁ,Kutaa tamboo hin xuuxne nan barbaada,ሽጋራ ዘይትክኽ ክፍሊ ምደለኹ
Hotel; Restaurant; Shopping,What is the charge per night?,ለአንድ ሌሊት ክፍያ ምን ያህል ነው?,Halkan tokkoof kaffaltiin maali?,ንሓንቲ ለይቲ ዝኽፈል ክፍሊት ክንደይ እዩ?
Hotel; Restaurant; Shopping,I'm here on business /on vacation,እኔ እዚህ በንግድ/በእረፍት ላይ ነኝ,Ani hojiif /boqonnaa irratti as jira,ኣብዚ ዘለኹ ብስራሕ /ብዕረፍቲ እየ
Hotel; Restaurant; Shopping,Do you accept credit cards?,ክሬዲት ካርዶችን ትቀበላለህ?,Kaardii liqii ni fudhattaa?,ናይ ክረዲት ካርድ ትቕበል ዲኻ?
Hotel; Restaurant; Shopping,How much will it cost?,ምን ያህል ያስከፍላል?,Baasiin isaa meeqa ta'a?,ክንደይ ክኸፍል እዩ?
Hotel; Restaurant; Shopping,What's the name of this dish?,የዚህ ምግብ ስም ማን ይባላል?,Maqaan nyaata kanaa maali?,እዚ ድስቲ እንታይ ይበሃል?
Hotel; Restaurant; Shopping,It is very delicious!,በጣም ጣፋጭ ነው!,Baay'ee mi'aawaa dha!,ብጣዕሚ ጥዑም እዩ!
Hotel; Restaurant; Shopping,How much is this?,ይሄ ስንት ነው?,Kun meeqa?,እዚ ክንደይ እዩ?
Hotel; Restaurant; Shopping,I'm just looking,እየፈለግኩ ነው።,Ani ilaalaa jira,ኣነ ጥራይ እየ ዝጥምት ዘለኹ
Hotel; Restaurant; Shopping,I don't have change,ለውጥ የለኝም,Jijjiirama hin qabu,ለውጢ የብለይን።
Hotel; Restaurant; Shopping,This is too expensive,ይህ በጣም ውድ ነው።,Kun garmalee qaala'aa dha,እዚ ኣዝዩ ክቡር እዩ።
Hotel; Restaurant; Shopping,Cheap,ርካሽ,Rakasa,ሕሳር
Daily routine,What time is it?,ስንት ሰዓት ነው?,Sa'aatiin meeqa?,ሰዓት ክንደይ እዩ?
Daily routine,Give me this!,ይህን ስጠኝ!,Kana naaf kenni!,እዚ ሃበኒ!
Daily routine,Are you sure?,እርግጠኛ ነህ?,Mirkaneeffatteettaa?,ርግጸኛ ዲኻ?
Daily routine,It's freezing (weather),በረዶ ነው (የአየር ሁኔታ),Qorqorroo (haala qilleensaa) .,በረድ እዩ (ኩነታት ኣየር)
Daily routine,It's cold (weather),ቀዝቃዛ ነው (የአየር ሁኔታ),Qorqorroo (haala qilleensaa) .,ቁሪ እዩ (ኩነታት ኣየር)
Daily routine,Do you like it?,ወደዱ?,Ni jaallattaa?,ትፈትዎ ዲኻ?
Daily routine,I really like it!,በጣም ወድጄዋለሁ!,Baay'een jaalladha!,ብጣዕሚ እየ ዝፈትዎ!
Daily routine,I'm hungry,አርቦኛል አኔ,Beela'eera,ጠሚየ ኣለኹ
Daily routine,I'm thirsty,ጠምቶኛል,Ani dheebodheera,ጽምኢ ኣለኒ።
Daily routine,He is funny,እሱ አስቂኝ ነው።,Inni nama kofalchiisa,መስሓቕ እዩ።
Daily routine,In The Morning,በጠዋት,Ganama,ኣብ ንግሆ
Daily routine,In the evening,ምሽት ላይ,Galgala galgala,ምሸት ምሸት
Daily routine,At Night,በማታ,Halkan,ብለይቲ
Daily routine,Hurry up!,ፍጥን!,Daddafi!,ቀልጥፍ!
Daily routine,That's nice!,ጥሩ ነው!,Sun namatti tola!,ጽቡቕ'ዩ!
